setting,sensitivity_seed_index,sensitivity_seed,n,selected_gpi_mean,selected_gpi_sd,selected_gpi_ci95,selected_gpi_median,selected_gpi_q05,selected_gpi_q95,selected_synthetic_utility_mean,selected_synthetic_utility_sd,selected_synthetic_utility_ci95,selected_synthetic_utility_median,selected_synthetic_utility_q05,selected_synthetic_utility_q95,selected_traceability_mean,selected_traceability_sd,selected_traceability_ci95,selected_traceability_median,selected_traceability_q05,selected_traceability_q95,selected_controllability_mean,selected_controllability_sd,selected_controllability_ci95,selected_controllability_median,selected_controllability_q05,selected_controllability_q95,cognitive_load_mean,cognitive_load_sd,cognitive_load_ci95,cognitive_load_median,cognitive_load_q05,cognitive_load_q95,low_reliability_verified_claim_proportion_mean,low_reliability_verified_claim_proportion_sd,low_reliability_verified_claim_proportion_ci95,low_reliability_verified_claim_proportion_median,low_reliability_verified_claim_proportion_q05,low_reliability_verified_claim_proportion_q95,non_verified_linked_claim_ratio_mean,non_verified_linked_claim_ratio_sd,non_verified_linked_claim_ratio_ci95,non_verified_linked_claim_ratio_median,non_verified_linked_claim_ratio_q05,non_verified_linked_claim_ratio_q95,selected_risk_penalty_mean,selected_risk_penalty_sd,selected_risk_penalty_ci95,selected_risk_penalty_median,selected_risk_penalty_q05,selected_risk_penalty_q95
selected,9,20263206,500,0.642855,0.032218,0.002824,0.642261,0.591563,0.699795,0.630127,0.062695,0.005495,0.632383,0.521579,0.727866,0.693463,0.090794,0.007958,0.692727,0.540000,0.846667,0.840668,0.020920,0.001834,0.837314,0.811579,0.872644,0.721821,0.094164,0.008254,0.719109,0.571919,0.867305,0.106233,0.070091,0.006144,0.100000,0.000000,0.235294,0.455100,0.119676,0.010490,0.466667,0.250000,0.642857,0.522067,0.146660,0.012855,0.504100,0.320930,0.792063
high_evidence,9,20263206,500,0.633675,0.031982,0.002803,0.632815,0.582037,0.686991,0.628894,0.062792,0.005504,0.631492,0.519055,0.726699,0.668766,0.089480,0.007843,0.669167,0.518125,0.816000,0.840257,0.021043,0.001844,0.837968,0.809815,0.871009,0.730691,0.092280,0.008089,0.729728,0.578547,0.877008,0.101648,0.069569,0.006098,0.100000,0.000000,0.222222,0.516369,0.114295,0.010018,0.526316,0.312500,0.692308,0.532367,0.149882,0.013138,0.514665,0.327849,0.804796
low_critique_rate,9,20263206,500,0.636885,0.033021,0.002894,0.636486,0.585073,0.693853,0.629727,0.063254,0.005544,0.632770,0.518543,0.727866,0.693938,0.090831,0.007962,0.692727,0.543636,0.846667,0.840668,0.020920,0.001834,0.837314,0.811579,0.872644,0.705061,0.091963,0.008061,0.702651,0.550000,0.850155,0.107311,0.071134,0.006235,0.100000,0.000000,0.240000,0.453982,0.119664,0.010489,0.466667,0.250000,0.636364,0.525410,0.146867,0.012873,0.505257,0.327196,0.792063
high_critique_rate,9,20263206,500,0.645526,0.032098,0.002814,0.646110,0.593888,0.700742,0.629950,0.062102,0.005443,0.632383,0.520684,0.727866,0.693201,0.090732,0.007953,0.692727,0.540000,0.840000,0.840668,0.020920,0.001834,0.837314,0.811579,0.872644,0.729562,0.095230,0.008347,0.728757,0.574757,0.877409,0.106411,0.070193,0.006153,0.100000,0.000000,0.235294,0.454179,0.118291,0.010369,0.466667,0.250000,0.636364,0.525211,0.146741,0.012862,0.507979,0.326601,0.792063
strict_gate,9,20263206,500,0.649421,0.032243,0.002826,0.650251,0.598902,0.703115,0.630127,0.062695,0.005495,0.632383,0.521579,0.727866,0.693463,0.090794,0.007958,0.692727,0.540000,0.846667,0.873258,0.009120,0.000799,0.873316,0.858772,0.888060,0.721821,0.094164,0.008254,0.719109,0.571919,0.867305,0.106233,0.070091,0.006144,0.100000,0.000000,0.235294,0.455100,0.119676,0.010490,0.466667,0.250000,0.642857,0.521587,0.146635,0.012853,0.502023,0.320930,0.792063
low_evidence,10,20263243,500,0.649680,0.034502,0.003024,0.649907,0.590880,0.708367,0.630159,0.063628,0.005577,0.634791,0.519384,0.727880,0.711657,0.089815,0.007873,0.710000,0.564444,0.855000,0.841169,0.020653,0.001810,0.836276,0.811395,0.871085,0.715723,0.090700,0.007950,0.711380,0.569583,0.860122,0.167070,0.091380,0.008010,0.166667,0.038462,0.318182,0.404541,0.112723,0.009881,0.407407,0.214286,0.586207,0.513936,0.148795,0.013042,0.490634,0.313632,0.787127
selected,10,20263243,500,0.641183,0.034573,0.003030,0.641136,0.582614,0.696045,0.629690,0.062546,0.005482,0.633480,0.518017,0.726779,0.687013,0.092753,0.008130,0.686667,0.536970,0.830435,0.840942,0.020858,0.001828,0.838227,0.810108,0.871575,0.724168,0.093812,0.008223,0.720608,0.567525,0.871875,0.105009,0.072980,0.006397,0.096774,0.000000,0.230769,0.464527,0.118465,0.010384,0.466667,0.260870,0.642857,0.523782,0.147238,0.012906,0.500903,0.321198,0.793582
high_evidence,10,20263243,500,0.634146,0.032988,0.002891,0.634594,0.580841,0.686032,0.630692,0.061748,0.005412,0.632770,0.518543,0.727866,0.662256,0.091005,0.007977,0.659167,0.518065,0.807368,0.840757,0.020634,0.001809,0.835925,0.811448,0.872600,0.732753,0.092379,0.008097,0.733315,0.586566,0.876568,0.102720,0.071672,0.006282,0.095238,0.000000,0.230769,0.518078,0.118616,0.010397,0.526316,0.320000,0.708333,0.528615,0.144822,0.012694,0.514187,0.329661,0.792987
low_critique_rate,10,20263243,500,0.634925,0.035337,0.003097,0.634232,0.574225,0.690053,0.629134,0.062582,0.005486,0.632920,0.518017,0.726965,0.687887,0.091064,0.007982,0.689412,0.545946,0.829412,0.840942,0.020858,0.001828,0.838227,0.810108,0.871575,0.706497,0.091525,0.008023,0.704745,0.558184,0.848092,0.104167,0.072775,0.006379,0.096774,0.000000,0.228571,0.463136,0.118504,0.010387,0.466667,0.250000,0.642857,0.522617,0.145739,0.012775,0.502469,0.322234,0.793141
high_critique_rate,10,20263243,500,0.643843,0.034629,0.003035,0.643131,0.585725,0.699104,0.630030,0.062211,0.005453,0.633939,0.519135,0.726779,0.686244,0.091345,0.008007,0.685556,0.536970,0.829412,0.840942,0.020858,0.001828,0.838227,0.810108,0.871575,0.731692,0.095005,0.008328,0.734489,0.574552,0.883399,0.105050,0.072096,0.006319,0.100000,0.000000,0.227273,0.465552,0.118192,0.010360,0.466667,0.266667,0.647059,0.520891,0.146583,0.012849,0.500900,0.316666,0.790939
strict_gate,10,20263243,500,0.647750,0.034670,0.003039,0.647980,0.587895,0.703133,0.629690,0.062546,0.005482,0.633480,0.518017,0.726779,0.687013,0.092753,0.008130,0.686667,0.536970,0.830435,0.873532,0.009302,0.000815,0.873037,0.858020,0.888801,0.724168,0.093812,0.008223,0.720608,0.567525,0.871875,0.105009,0.072980,0.006397,0.096774,0.000000,0.230769,0.464527,0.118465,0.010384,0.466667,0.260870,0.642857,0.523286,0.147176,0.012901,0.500903,0.321198,0.793582
low_evidence,11,20263280,500,0.649234,0.033775,0.002961,0.649033,0.592864,0.703156,0.630978,0.061392,0.005381,0.631203,0.526532,0.727866,0.709888,0.088537,0.007761,0.712903,0.562000,0.860714,0.840977,0.020630,0.001808,0.837767,0.811417,0.871132,0.715515,0.090733,0.007953,0.719566,0.567525,0.854066,0.155448,0.080801,0.007082,0.153846,0.043478,0.285714,0.408208,0.111862,0.009805,0.409091,0.214286,0.586207,0.514836,0.151087,0.013243,0.495257,0.309437,0.783708
selected,11,20263280,500,0.642035,0.032481,0.002847,0.642616,0.589253,0.695048,0.629354,0.063520,0.005568,0.632758,0.517361,0.727880,0.689989,0.089882,0.007878,0.692727,0.532353,0.832381,0.841292,0.020904,0.001832,0.837885,0.811329,0.873882,0.723646,0.092158,0.008078,0.721265,0.574793,0.866460,0.102693,0.072055,0.006316,0.095238,0.000000,0.250000,0.458655,0.114285,0.010018,0.461538,0.258065,0.642857,0.526129,0.144418,0.012659,0.511604,0.317178,0.791541
high_evidence,11,20263280,500,0.634658,0.032582,0.002856,0.635249,0.578109,0.686538,0.631928,0.062828,0.005507,0.635527,0.516565,0.727866,0.663626,0.083769,0.007343,0.663871,0.521176,0.804444,0.840612,0.019878,0.001742,0.837607,0.812137,0.870053,0.732300,0.093292,0.008177,0.732534,0.586231,0.878660,0.101516,0.071410,0.006259,0.090909,0.000000,0.230769,0.518671,0.114194,0.010010,0.523810,0.333333,0.700000,0.527521,0.143981,0.012620,0.513474,0.333231,0.787179
low_critique_rate,11,20263280,500,0.635716,0.033172,0.002908,0.636155,0.581642,0.690697,0.629044,0.063407,0.005558,0.633480,0.518543,0.727866,0.690664,0.089375,0.007834,0.692727,0.538462,0.832381,0.841292,0.020904,0.001832,0.837885,0.811329,0.873882,0.705606,0.089464,0.007842,0.700996,0.569712,0.844631,0.103140,0.073226,0.006419,0.095238,0.000000,0.250000,0.457949,0.113744,0.009970,0.458333,0.258065,0.642857,0.526549,0.143939,0.012617,0.509690,0.319873,0.784991
high_critique_rate,11,20263280,500,0.644638,0.032193,0.002822,0.645764,0.591896,0.698013,0.630467,0.062612,0.005488,0.633475,0.522187,0.727880,0.688156,0.089936,0.007883,0.691613,0.532353,0.832381,0.841292,0.020904,0.001832,0.837885,0.811329,0.873882,0.730857,0.093105,0.008161,0.728963,0.581230,0.875424,0.102594,0.072277,0.006335,0.095238,0.000000,0.250000,0.460379,0.114105,0.010002,0.461538,0.266667,0.642857,0.522706,0.143716,0.012597,0.507257,0.317178,0.784991
strict_gate,11,20263280,500,0.648593,0.032685,0.002865,0.649870,0.593826,0.701048,0.629474,0.063278,0.005547,0.632758,0.518543,0.727880,0.689846,0.089955,0.007885,0.692727,0.532353,0.832381,0.873882,0.009521,0.000835,0.873952,0.857849,0.889294,0.723637,0.092149,0.008077,0.721265,0.574793,0.866460,0.102588,0.072111,0.006321,0.095238,0.000000,0.250000,0.458871,0.114552,0.010041,0.461538,0.258065,0.642857,0.525502,0.143938,0.012617,0.510309,0.317178,0.785402
low_evidence,12,20263317,500,0.648670,0.032767,0.002872,0.648449,0.594832,0.703877,0.630455,0.062394,0.005469,0.632383,0.516756,0.729808,0.708185,0.088282,0.007738,0.704286,0.573636,0.862000,0.840945,0.020708,0.001815,0.836883,0.812363,0.871790,0.714620,0.093964,0.008236,0.720155,0.554400,0.859654,0.157720,0.084393,0.007397,0.153846,0.032258,0.304348,0.404984,0.111860,0.009805,0.407407,0.200000,0.580645,0.515058,0.144512,0.012667,0.493158,0.315825,0.782469
selected,12,20263317,500,0.641192,0.033059,0.002898,0.642157,0.581870,0.694258,0.630681,0.063049,0.005526,0.634291,0.518726,0.727245,0.684577,0.087269,0.007649,0.681538,0.541714,0.834737,0.840822,0.020900,0.001832,0.836590,0.811213,0.872007,0.724008,0.092680,0.008124,0.726159,0.570152,0.865326,0.101604,0.073154,0.006412,0.093750,0.000000,0.230769,0.462888,0.112857,0.009892,0.466667,0.263158,0.636364,0.526588,0.151037,0.013239,0.502242,0.324781,0.802897
high_evidence,12,20263317,500,0.634616,0.032257,0.002827,0.636880,0.579195,0.686206,0.629759,0.063396,0.005557,0.632770,0.516680,0.727880,0.668127,0.088470,0.007755,0.662000,0.521818,0.805000,0.840350,0.020123,0.001764,0.836576,0.810984,0.871197,0.730744,0.092077,0.008071,0.732829,0.582610,0.874674,0.107284,0.076616,0.006716,0.100000,0.000000,0.250000,0.511566,0.115244,0.010102,0.513514,0.307692,0.700000,0.531033,0.147206,0.012903,0.513242,0.331964,0.800646
low_critique_rate,12,20263317,500,0.635077,0.033908,0.002972,0.635989,0.574336,0.690254,0.630269,0.062135,0.005446,0.633480,0.520684,0.726779,0.685236,0.090056,0.007894,0.683500,0.540000,0.834737,0.840822,0.020900,0.001832,0.836590,0.811213,0.872007,0.706646,0.089988,0.007888,0.709315,0.559962,0.847274,0.101181,0.073723,0.006462,0.090909,0.000000,0.230769,0.461849,0.114848,0.010067,0.461538,0.263158,0.636364,0.529792,0.151446,0.013275,0.504472,0.324781,0.807848
high_critique_rate,12,20263317,500,0.644251,0.032960,0.002889,0.645396,0.585783,0.697007,0.631202,0.062617,0.005489,0.634291,0.519580,0.727245,0.683530,0.087130,0.007637,0.679259,0.540000,0.830435,0.840822,0.020900,0.001832,0.836590,0.811213,0.872007,0.732675,0.093024,0.008154,0.737423,0.582756,0.873144,0.101845,0.074478,0.006528,0.095238,0.000000,0.230769,0.464172,0.112352,0.009848,0.466667,0.266667,0.636364,0.522413,0.149503,0.013104,0.498517,0.324781,0.801811
strict_gate,12,20263317,500,0.647752,0.033267,0.002916,0.649313,0.587902,0.701154,0.630681,0.063049,0.005526,0.634291,0.518726,0.727245,0.684577,0.087269,0.007649,0.681538,0.541714,0.834737,0.873412,0.009010,0.000790,0.873751,0.858794,0.888110,0.724008,0.092680,0.008124,0.726159,0.570152,0.865326,0.101604,0.073154,0.006412,0.093750,0.000000,0.230769,0.462888,0.112857,0.009892,0.466667,0.263158,0.636364,0.526172,0.151029,0.013238,0.502242,0.324781,0.801811
low_evidence,13,20263354,500,0.650057,0.033809,0.002963,0.649909,0.597308,0.705044,0.630323,0.063270,0.005546,0.633489,0.515840,0.727866,0.711107,0.089519,0.007847,0.711765,0.565333,0.862000,0.840531,0.021145,0.001853,0.835935,0.810552,0.873319,0.715646,0.090259,0.007912,0.711548,0.570874,0.857398,0.163231,0.087596,0.007678,0.153846,0.000000,0.312500,0.400487,0.108039,0.009470,0.400000,0.217391,0.575758,0.510912,0.147627,0.012940,0.492843,0.311624,0.785141
selected,13,20263354,500,0.642834,0.033158,0.002906,0.642498,0.585734,0.694639,0.631400,0.061001,0.005347,0.634291,0.523854,0.726699,0.688397,0.085904,0.007530,0.686364,0.549333,0.832000,0.841121,0.020507,0.001798,0.836354,0.811816,0.872159,0.724647,0.092433,0.008102,0.720614,0.577582,0.868805,0.102969,0.069364,0.006080,0.093750,0.000000,0.227273,0.459821,0.112787,0.009886,0.461538,0.260870,0.642857,0.528041,0.147375,0.012918,0.504069,0.324706,0.801837
high_evidence,13,20263354,500,0.634142,0.031879,0.002794,0.634370,0.580839,0.686786,0.631156,0.062134,0.005446,0.633480,0.520684,0.727866,0.665027,0.086424,0.007575,0.665000,0.522308,0.805455,0.840779,0.020965,0.001838,0.835798,0.810315,0.871821,0.731177,0.093396,0.008187,0.728942,0.580689,0.880225,0.104942,0.067322,0.005901,0.095238,0.000000,0.230769,0.517719,0.113870,0.009981,0.523810,0.312500,0.689655,0.535716,0.148719,0.013036,0.514069,0.329893,0.813945
low_critique_rate,13,20263354,500,0.636780,0.033720,0.002956,0.636731,0.578627,0.689324,0.630989,0.061864,0.005423,0.634026,0.523564,0.726779,0.688633,0.085564,0.007500,0.686471,0.549333,0.834737,0.841121,0.020507,0.001798,0.836354,0.811816,0.872159,0.707749,0.090674,0.007948,0.704553,0.563038,0.847341,0.101911,0.068783,0.006029,0.093750,0.000000,0.227273,0.458872,0.114104,0.010002,0.461538,0.260870,0.647059,0.529916,0.145274,0.012734,0.507398,0.328258,0.795179
high_critique_rate,13,20263354,500,0.645448,0.032969,0.002890,0.645337,0.590798,0.698334,0.631851,0.062600,0.005487,0.634838,0.521579,0.727880,0.687664,0.084594,0.007415,0.686000,0.549333,0.830435,0.841121,0.020507,0.001798,0.836354,0.811816,0.872159,0.732028,0.093277,0.008176,0.732344,0.580389,0.878955,0.103552,0.070134,0.006148,0.093750,0.000000,0.227273,0.460660,0.111191,0.009746,0.461538,0.263158,0.642857,0.525040,0.147724,0.012949,0.501879,0.321198,0.797346
strict_gate,13,20263354,500,0.649384,0.033184,0.002909,0.649844,0.591293,0.700513,0.631400,0.061001,0.005347,0.634291,0.523854,0.726699,0.688397,0.085904,0.007530,0.686364,0.549333,0.832000,0.873711,0.008935,0.000783,0.874014,0.858412,0.888051,0.724647,0.092433,0.008102,0.720614,0.577582,0.868805,0.102969,0.069364,0.006080,0.093750,0.000000,0.227273,0.459821,0.112787,0.009886,0.461538,0.260870,0.642857,0.527721,0.147358,0.012916,0.504069,0.324706,0.801837
low_evidence,14,20263391,500,0.648498,0.033264,0.002916,0.649119,0.591358,0.703182,0.628260,0.066539,0.005832,0.633475,0.509612,0.727245,0.708716,0.094323,0.008268,0.707619,0.559259,0.867778,0.840982,0.020909,0.001833,0.837469,0.813570,0.873283,0.716277,0.091806,0.008047,0.715239,0.566391,0.859087,0.163001,0.091053,0.007981,0.153846,0.000000,0.321429,0.405933,0.117912,0.010335,0.406250,0.200000,0.593750,0.510964,0.148193,0.012990,0.488243,0.313597,0.790250
selected,14,20263391,500,0.641267,0.032803,0.002875,0.642210,0.584821,0.693336,0.630285,0.062458,0.005475,0.632383,0.523854,0.726699,0.683784,0.091122,0.007987,0.680000,0.540000,0.833333,0.840276,0.021058,0.001846,0.836589,0.810107,0.871321,0.724127,0.091367,0.008009,0.721867,0.579904,0.865173,0.102549,0.068093,0.005969,0.090909,0.000000,0.222222,0.460848,0.114976,0.010078,0.466667,0.266667,0.640000,0.528082,0.150901,0.013227,0.502273,0.321190,0.804448
high_evidence,14,20263391,500,0.631989,0.032264,0.002828,0.631352,0.580434,0.686376,0.629149,0.063370,0.005555,0.631672,0.518543,0.727866,0.659091,0.083561,0.007324,0.658095,0.528571,0.794737,0.840933,0.020855,0.001828,0.837331,0.811144,0.871416,0.732826,0.092414,0.008100,0.732348,0.579456,0.880382,0.100598,0.064982,0.005696,0.095238,0.000000,0.214286,0.525041,0.109848,0.009629,0.529412,0.352941,0.696970,0.540746,0.151471,0.013277,0.520266,0.332827,0.815629
low_critique_rate,14,20263391,500,0.635042,0.033458,0.002933,0.635644,0.577304,0.689514,0.629567,0.063285,0.005547,0.631672,0.518771,0.726699,0.684444,0.090779,0.007957,0.680000,0.545000,0.835000,0.840276,0.021058,0.001846,0.836589,0.810107,0.871321,0.706937,0.089563,0.007851,0.706695,0.567173,0.847593,0.101867,0.069056,0.006053,0.090909,0.000000,0.222222,0.459513,0.115524,0.010126,0.466667,0.266667,0.640000,0.533069,0.151482,0.013278,0.506040,0.324248,0.809837
high_critique_rate,14,20263391,500,0.644006,0.032620,0.002859,0.644753,0.589194,0.697544,0.630503,0.062267,0.005458,0.632758,0.523854,0.726699,0.683225,0.090773,0.007957,0.678750,0.544286,0.835000,0.840276,0.021058,0.001846,0.836589,0.810107,0.871321,0.732107,0.092711,0.008126,0.732525,0.585845,0.876926,0.101264,0.068011,0.005961,0.090909,0.000000,0.222222,0.461461,0.114384,0.010026,0.468750,0.266667,0.640000,0.527758,0.150515,0.013193,0.499392,0.320661,0.802897
strict_gate,14,20263391,500,0.647819,0.032977,0.002891,0.648293,0.591624,0.700352,0.630285,0.062458,0.005475,0.632383,0.523854,0.726699,0.683784,0.091122,0.007987,0.680000,0.540000,0.833333,0.872866,0.009066,0.000795,0.872796,0.857716,0.887405,0.724127,0.091367,0.008009,0.721867,0.579904,0.865173,0.102549,0.068093,0.005969,0.090909,0.000000,0.222222,0.460848,0.114976,0.010078,0.466667,0.266667,0.640000,0.527746,0.150869,0.013224,0.502273,0.321190,0.804448
low_evidence,15,20263428,500,0.649212,0.033186,0.002909,0.649200,0.590766,0.704620,0.629687,0.062437,0.005473,0.630437,0.518726,0.727245,0.710712,0.088694,0.007774,0.714400,0.571613,0.853333,0.841124,0.020649,0.001810,0.837419,0.810998,0.871970,0.715407,0.091397,0.008011,0.713588,0.564784,0.863060,0.157623,0.081706,0.007162,0.150000,0.000000,0.300000,0.403907,0.112528,0.009863,0.400000,0.200000,0.588235,0.520113,0.145513,0.012755,0.504781,0.314263,0.773562
selected,15,20263428,500,0.641163,0.032892,0.002883,0.639438,0.589122,0.695161,0.630793,0.062058,0.005440,0.630741,0.520684,0.727245,0.685228,0.084859,0.007438,0.682857,0.548000,0.827500,0.840775,0.020516,0.001798,0.836873,0.811566,0.872977,0.723911,0.092807,0.008135,0.724382,0.569712,0.864110,0.098554,0.075158,0.006588,0.086957,0.000000,0.230769,0.465841,0.114466,0.010033,0.466667,0.266667,0.645161,0.528748,0.146199,0.012815,0.515202,0.325393,0.792063
high_evidence,15,20263428,500,0.632308,0.033804,0.002963,0.630101,0.579490,0.688606,0.629403,0.062809,0.005505,0.632959,0.517361,0.727245,0.659499,0.090003,0.007889,0.656842,0.521622,0.814737,0.841025,0.020363,0.001785,0.836923,0.812341,0.872165,0.732846,0.092123,0.008075,0.732582,0.588861,0.879637,0.095933,0.068705,0.006022,0.088235,0.000000,0.214286,0.524211,0.114861,0.010068,0.531250,0.318182,0.687500,0.539418,0.148674,0.013032,0.527974,0.330005,0.805704
low_critique_rate,15,20263428,500,0.634869,0.033664,0.002951,0.632938,0.583674,0.692020,0.630815,0.062393,0.005469,0.632770,0.517361,0.727245,0.685021,0.084105,0.007372,0.680833,0.548000,0.827273,0.840775,0.020516,0.001798,0.836873,0.811566,0.872977,0.706280,0.091524,0.008022,0.705907,0.558194,0.845973,0.098850,0.074758,0.006553,0.086957,0.000000,0.230769,0.465753,0.114080,0.010000,0.466667,0.266667,0.645161,0.529838,0.146686,0.012858,0.511075,0.326314,0.796097
high_critique_rate,15,20263428,500,0.644091,0.032695,0.002866,0.643209,0.592137,0.698516,0.631399,0.061845,0.005421,0.632920,0.521579,0.727245,0.684475,0.085856,0.007526,0.680000,0.546957,0.827500,0.840775,0.020516,0.001798,0.836873,0.811566,0.872977,0.731756,0.093869,0.008228,0.730752,0.572774,0.874871,0.098474,0.075390,0.006608,0.086957,0.000000,0.230769,0.466080,0.115020,0.010082,0.468750,0.250000,0.645161,0.525217,0.146017,0.012799,0.506448,0.324706,0.788011
strict_gate,15,20263428,500,0.647715,0.032912,0.002885,0.647070,0.594682,0.701449,0.630793,0.062058,0.005440,0.630741,0.520684,0.727245,0.685228,0.084859,0.007438,0.682857,0.548000,0.827500,0.873365,0.009334,0.000818,0.873122,0.857782,0.889023,0.723911,0.092807,0.008135,0.724382,0.569712,0.864110,0.098554,0.075158,0.006588,0.086957,0.000000,0.230769,0.465841,0.114466,0.010033,0.466667,0.266667,0.645161,0.528412,0.146234,0.012818,0.514665,0.325393,0.792063
low_evidence,16,20263465,500,0.649279,0.032219,0.002824,0.647697,0.598758,0.707209,0.628140,0.063815,0.005594,0.632770,0.516680,0.727245,0.713990,0.092421,0.008101,0.714444,0.561429,0.874118,0.841320,0.020874,0.001830,0.837145,0.811543,0.872047,0.715438,0.092872,0.008141,0.719823,0.566063,0.858449,0.162067,0.083003,0.007276,0.150000,0.045455,0.300000,0.402775,0.117475,0.010297,0.400000,0.208333,0.590909,0.517958,0.144222,0.012642,0.495053,0.315563,0.775844
selected,16,20263465,500,0.642472,0.032969,0.002890,0.642360,0.587315,0.695910,0.629722,0.064032,0.005613,0.633939,0.514725,0.729808,0.691378,0.093541,0.008199,0.696154,0.535294,0.840000,0.841128,0.020667,0.001812,0.836681,0.811571,0.872990,0.722943,0.094823,0.008312,0.725276,0.565848,0.868070,0.106045,0.066182,0.005801,0.095238,0.000000,0.222222,0.455923,0.120629,0.010574,0.458333,0.263158,0.648649,0.527298,0.146066,0.012803,0.504922,0.319913,0.787215
high_evidence,16,20263465,500,0.633429,0.032694,0.002866,0.632261,0.576776,0.687641,0.631284,0.062680,0.005494,0.633939,0.516680,0.727866,0.660876,0.083282,0.007300,0.663750,0.519310,0.804444,0.840632,0.020321,0.001781,0.836428,0.812283,0.871166,0.733229,0.091849,0.008051,0.731260,0.592802,0.881531,0.103255,0.070019,0.006137,0.093750,0.000000,0.230769,0.525883,0.107980,0.009465,0.523810,0.346154,0.703704,0.528004,0.144944,0.012705,0.508307,0.332827,0.795191
low_critique_rate,16,20263465,500,0.636212,0.033511,0.002937,0.636385,0.580724,0.689556,0.629877,0.063898,0.005601,0.634291,0.515492,0.729808,0.690817,0.092564,0.008114,0.693333,0.535294,0.840000,0.841128,0.020667,0.001812,0.836681,0.811571,0.872990,0.705534,0.092775,0.008132,0.704673,0.560384,0.850843,0.105900,0.066202,0.005803,0.095238,0.000000,0.222222,0.456316,0.119715,0.010494,0.458333,0.263158,0.647059,0.529375,0.146121,0.012808,0.511472,0.321151,0.787505
high_critique_rate,16,20263465,500,0.645365,0.032650,0.002862,0.645799,0.592182,0.698134,0.629972,0.063809,0.005593,0.633939,0.515840,0.729808,0.691013,0.092895,0.008143,0.696667,0.535294,0.835385,0.841128,0.020667,0.001812,0.836681,0.811571,0.872990,0.731352,0.096410,0.008451,0.734656,0.574552,0.880422,0.104905,0.066239,0.005806,0.095238,0.000000,0.222222,0.457149,0.119391,0.010465,0.464286,0.263158,0.645161,0.524735,0.146313,0.012825,0.504914,0.318593,0.784991
strict_gate,16,20263465,500,0.649024,0.033065,0.002898,0.649310,0.595010,0.701381,0.629722,0.064032,0.005613,0.633939,0.514725,0.729808,0.691378,0.093541,0.008199,0.696154,0.535294,0.840000,0.873718,0.008995,0.000788,0.873425,0.858373,0.888416,0.722943,0.094823,0.008312,0.725276,0.565848,0.868070,0.106045,0.066182,0.005801,0.095238,0.000000,0.222222,0.455923,0.120629,0.010574,0.458333,0.263158,0.648649,0.526962,0.146005,0.012798,0.504914,0.319913,0.787215
low_evidence,17,20263502,500,0.649566,0.032014,0.002806,0.648630,0.598956,0.707173,0.630888,0.062083,0.005442,0.633480,0.523854,0.729808,0.711751,0.088447,0.007753,0.714667,0.567273,0.853333,0.840338,0.020197,0.001770,0.836700,0.811850,0.870869,0.715328,0.092354,0.008095,0.718467,0.564800,0.862720,0.153770,0.080450,0.007052,0.150000,0.000000,0.285714,0.405462,0.112660,0.009875,0.400000,0.222222,0.580645,0.514858,0.148056,0.012978,0.488903,0.315563,0.790939
selected,17,20263502,500,0.642225,0.032423,0.002842,0.643549,0.586948,0.693886,0.628239,0.063918,0.005603,0.630015,0.518543,0.727866,0.692294,0.085216,0.007470,0.693000,0.548000,0.827500,0.840657,0.020125,0.001764,0.837065,0.812459,0.870121,0.723454,0.092230,0.008084,0.724641,0.574552,0.870989,0.104976,0.070685,0.006196,0.096774,0.000000,0.230769,0.454781,0.110665,0.009700,0.450000,0.285714,0.636364,0.524857,0.146734,0.012862,0.507949,0.319600,0.803640
high_evidence,17,20263502,500,0.635343,0.032101,0.002814,0.634593,0.582700,0.687955,0.630097,0.062953,0.005518,0.632758,0.521579,0.727245,0.672107,0.082959,0.007272,0.673333,0.543000,0.816923,0.840999,0.020695,0.001814,0.836894,0.810846,0.872149,0.730769,0.094693,0.008300,0.730465,0.583323,0.882624,0.103990,0.069510,0.006093,0.100000,0.000000,0.225806,0.513011,0.112506,0.009862,0.500000,0.312500,0.700000,0.527923,0.146061,0.012803,0.505876,0.328180,0.802130
low_critique_rate,17,20263502,500,0.636071,0.033094,0.002901,0.636801,0.578824,0.689108,0.627540,0.064556,0.005659,0.629757,0.518543,0.727866,0.693554,0.085380,0.007484,0.693000,0.548800,0.835385,0.840657,0.020125,0.001764,0.837065,0.812459,0.870121,0.705912,0.090882,0.007966,0.703789,0.553015,0.851449,0.103279,0.071011,0.006224,0.095238,0.000000,0.230769,0.452911,0.110303,0.009669,0.448276,0.285714,0.631579,0.526931,0.148440,0.013011,0.508755,0.319600,0.804272
high_critique_rate,17,20263502,500,0.644878,0.032274,0.002829,0.646373,0.590155,0.695767,0.628341,0.063247,0.005544,0.631056,0.518771,0.726779,0.692586,0.083819,0.007347,0.693000,0.548649,0.828800,0.840657,0.020125,0.001764,0.837065,0.812459,0.870121,0.730958,0.093419,0.008189,0.729288,0.579040,0.879872,0.105047,0.070779,0.006204,0.096774,0.000000,0.230769,0.455331,0.109446,0.009593,0.450000,0.285714,0.631579,0.524530,0.148289,0.012998,0.507835,0.319600,0.802401
